DeltaT,t_cement,E_cement,alpha_cement,E_rock,alpha_rock,E_steel,alpha_steel,a0_interface,k_contact,y_cc_max_jump_mm,y_cr_max_jump_mm,y_all_max_jump_mm
-72.33031341,0.031860043,17365262596,1.30E-05,18235816819,1.10E-05,1.99496E+11,1.29E-05,8.44E-06,0.702982876,0.1354695,0.216325468,0.216325468
-101.8831532,0.028674655,6358172151,1.19E-05,19287148206,9.48E-06,1.96414E+11,1.12E-05,1.40E-06,2.612715913,0.148847439,0.280017796,0.280017796
-39.2317145,0.031121594,5913858746,9.78E-06,36052966494,7.29E-06,1.95327E+11,1.10E-05,4.58E-05,2.095046211,0.063542727,0.088454317,0.088454317
-79.36183963,0.023659954,7607138321,1.02E-05,14870806250,9.79E-06,2.03649E+11,1.11E-05,3.25E-06,0.611620604,0.120591834,0.187362662,0.187362662
-26.40664123,0.031048741,9347448396,1.13E-05,24815801342,8.96E-06,2.02228E+11,1.20E-05,3.15E-05,0.937200949,0.046280009,0.068684312,0.068684312
-51.85951053,0.034616302,5610681435,1.11E-05,20333419000,1.06E-05,2.08878E+11,1.07E-05,3.67E-06,0.884171126,0.081371891,0.134118671,0.134118671
-43.75587075,0.031245035,9232655846,9.76E-06,10544835544,7.79E-06,1.94893E+11,1.23E-05,1.56E-05,2.962066272,0.083175087,0.098923113,0.098923113
-42.67906657,0.026025578,14250912685,8.16E-06,11899086643,9.51E-06,1.9042E+11,1.14E-05,1.05E-05,1.973932238,0.075116289,0.082281172,0.082281172
-46.70761862,0.028338692,8067359782,1.05E-05,18308530587,5.19E-06,2.08675E+11,1.29E-05,2.09E-06,1.106494803,0.090984721,0.110760505,0.110760505
-108.7257702,0.020651024,7906173941,1.15E-05,10859056494,7.51E-06,2.0838E+11,1.12E-05,4.06E-05,0.911627665,0.143978756,0.283482302,0.283482302
-103.3664021,0.023089677,6067827058,1.12E-05,10301465301,1.00E-05,1.92487E+11,1.14E-05,3.49E-06,0.90452387,0.150311642,0.267694047,0.267694047
-73.14666823,0.021177082,14139158655,1.16E-05,21931276248,6.34E-06,2.01055E+11,1.19E-05,1.22E-06,1.86578526,0.105491016,0.191029821,0.191029821
-111.9665551,0.02101259,19582722469,1.23E-05,32818535202,1.02E-05,1.95825E+11,1.16E-05,7.78E-06,2.043054125,0.145825854,0.316456772,0.316456772
-111.4617301,0.03004305,10393345654,1.05E-05,16645797090,1.02E-05,1.95303E+11,1.08E-05,2.73E-05,1.56638651,0.169401061,0.272855744,0.272855744
-52.93439825,0.022783182,7488281546,1.20E-05,24200465563,9.15E-06,2.03665E+11,1.29E-05,1.40E-05,0.597455312,0.091634583,0.144786071,0.144786071
-111.9460678,0.036214713,6248667636,1.26E-05,10976288128,1.10E-05,2.06644E+11,1.06E-05,2.51E-06,1.301413283,0.16423312,0.329034822,0.329034822
