DeltaT,t_cement,E_cement,alpha_cement,E_rock,alpha_rock,E_steel,alpha_steel,a0_interface,k_contact,r_inner,t_steel,k_cement,y_cc_max_jump_mm,y_cr_max_jump_mm,y_all_max_jump_mm
-54.13823154,0.051646559,16583693163,7.43E-06,10483358450,1.16E-05,2.03956E+11,1.24E-05,4.10E-05,0.156603449,0.15282928,0.020749818,0.847990688,0.252763419,0.173918701,0.252763419
-49.53507885,0.027545337,5033547507,1.41E-05,41231194046,4.43E-06,1.98838E+11,1.15E-05,1.29E-06,4.613119797,0.120382612,0.016373656,1.088854293,0.104497501,0.258345446,0.258345446
-21.74593819,0.042858099,12671296914,9.42E-06,22940397185,7.34E-06,2.05264E+11,1.07E-05,9.70E-06,1.851320849,0.14783917,0.012216285,0.512446567,0.180560608,0.180934499,0.180934499
-74.57929241,0.016647517,6533372345,1.21E-05,5506217075,8.65E-06,1.90068E+11,1.33E-05,3.05E-05,0.390270949,0.178668406,0.024907783,1.782565315,0.190135474,0.342113737,0.342113737
-65.45062212,0.047855602,3521652455,1.16E-05,8899571872,1.30E-05,2.09591E+11,1.02E-05,3.72E-06,3.054792937,0.135294335,0.022851637,0.628549164,0.163115591,0.242873752,0.242873752
-30.83990427,0.023051185,19714089459,1.08E-05,27195074567,5.27E-06,1.94474E+11,1.38E-05,1.18E-05,0.235782547,0.191128148,0.014430532,1.448786694,0.25632216,0.28791929,0.28791929
-40.44118565,0.058050161,7639028347,1.36E-05,49324141121,8.19E-06,2.00877E+11,1.29E-05,8.85E-05,0.669008684,0.165264394,0.018385367,0.768108884,0.250619069,0.318852667,0.318852667
-63.26700062,0.032542602,8719676124,8.83E-06,17119966156,1.01E-05,1.95682E+11,1.10E-05,2.81E-06,1.076489545,0.107813149,0.018897397,1.198564167,0.130266058,0.166023306,0.166023306
-57.66432783,0.038591267,6968038421,1.02E-05,32590568545,9.43E-06,2.08692E+11,1.04E-05,4.44E-06,0.287506611,0.101590207,0.021364145,1.616298185,0.118273808,0.1881934,0.1881934
-38.5443447,0.018000187,10365985314,1.15E-05,11301590742,6.30E-06,1.93496E+11,1.37E-05,1.40E-05,1.206822086,0.171487289,0.01535386,0.672094054,0.20929638,0.27220879,0.27220879
-32.75189299,0.05019222,3159085301,8.20E-06,5934967678,4.65E-06,2.02402E+11,1.25E-05,5.93E-05,3.398201409,0.197405976,0.012833391,1.396536783,0.273550202,0.23925152,0.273550202
-71.03911988,0.03171051,23054553805,1.35E-05,18130479790,1.11E-05,1.97285E+11,1.14E-05,1.87E-06,0.102091629,0.129016462,0.023883622,0.786259617,0.172851205,0.263758969,0.263758969
-76.4763752,0.056598613,13837685010,1.48E-05,29321903432,1.03E-05,2.03058E+11,1.21E-05,4.67E-05,0.792986628,0.18494628,0.021831444,1.110801267,0.244455715,0.428321006,0.428321006
-27.34928466,0.036710567,5474446901,7.54E-06,7031513914,7.70E-06,1.97863E+11,1.19E-05,1.48E-06,0.436132838,0.141561343,0.015045256,0.985610248,0.195451833,0.160134451,0.195451833
-43.94679701,0.043591558,18415401704,1.28E-05,13528207877,6.05E-06,2.06786E+11,1.08E-05,6.21E-06,0.173696668,0.114159717,0.017361602,1.898464013,0.133541665,0.243180952,0.243180952
-52.22694242,0.024406643,4287530601,9.55E-06,53190682198,1.19E-05,1.91668E+11,1.32E-05,1.97E-05,1.991338085,0.159052221,0.019514106,0.570425368,0.227490215,0.223295869,0.227490215
-51.13796523,0.044766024,10897127880,1.40E-05,5079276170,7.58E-06,1.9962E+11,1.10E-05,1.63E-05,0.220456148,0.160021487,0.023033178,1.285260746,0.184730881,0.345070203,0.345070203
-45.18692205,0.025976697,7321038241,8.70E-06,21136034453,1.07E-05,2.04425E+11,1.31E-05,5.19E-06,2.566492953,0.11668157,0.013785587,0.708745145,0.168533879,0.154611658,0.168533879
-24.22057021,0.055663698,23445304430,1.20E-05,38079033631,1.24E-05,1.90849E+11,1.22E-05,2.17E-06,0.904408997,0.139426404,0.017753216,1.504042654,0.18336035,0.280632665,0.280632665
-79.45605896,0.034765,3211073221,1.07E-05,9693627983,5.93E-06,2.05731E+11,1.18E-05,6.90E-05,0.625526273,0.184371545,0.019066144,0.612296301,0.245122527,0.27597047,0.27597047
-69.83286981,0.049413946,5383204416,9.04E-06,15831483701,6.74E-06,1.94006E+11,1.26E-05,1.66E-06,3.983531046,0.126861398,0.020161605,1.733426396,0.187155913,0.207872863,0.207872863
-33.87474425,0.029921413,13613670705,1.23E-05,45556708789,9.31E-06,2.08811E+11,1.13E-05,5.24E-05,0.141575381,0.196801962,0.016612723,0.532497742,0.236168504,0.307033082,0.307033082
-35.53261703,0.039922374,4078556016,7.05E-06,25057955671,1.10E-05,1.95213E+11,1.05E-05,2.22E-05,0.352816917,0.172476484,0.012442558,1.003109363,0.207135032,0.182328304,0.207135032
