geo_id,sim_id,KH,Kh,E_Sv,nu,c_Sv,phi,pw_Sv,dilationRatio,status,is_collapsed,max_eq_plastic_strain,rp_max_rw,rp_severe_rw,theta_breakout,theta_breakout_severe,plastic_area_fraction,sigma_theta_max,ur_max_abs_rw,ur_convergence_rw,ur_expansion_rw,Regime,Sv_MPa,Hardening_over_Sv
dataset_batch_2_geo_001,dataset_batch_2_geo_001_pw_01,0.742941533,0.641620715,231.9733387,0.166326573,0.095687564,20.81692201,0.4,0.669338369,SUCCESS,0,9.17E-19,1,1,0,0,0,69807835.3,0.002062023,0.002062023,0,1,60,16.66666667
dataset_batch_2_geo_001,dataset_batch_2_geo_001_pw_02,0.742941533,0.641620715,231.9733387,0.166326573,0.095687564,20.81692201,0.5,0.669338369,SUCCESS,0,1.05E-18,1,1,0,0,0,64050301.22,0.001559592,0.001559592,0,1,60,16.66666667
dataset_batch_2_geo_001,dataset_batch_2_geo_001_pw_03,0.742941533,0.641620715,231.9733387,0.166326573,0.095687564,20.81692201,0.6,0.669338369,SUCCESS,0,8.31E-19,1,1,0,0,0,58292767.14,0.001057161,0.001057161,0.000181707,1,60,16.66666667
dataset_batch_2_geo_001,dataset_batch_2_geo_001_pw_04,0.742941533,0.641620715,231.9733387,0.166326573,0.095687564,20.81692201,0.7,0.669338369,SUCCESS,0,1.16E-18,1,1,0,0,0,52535233.07,0.000632295,0.00055473,0.000632295,1,60,16.66666667
dataset_batch_2_geo_001,dataset_batch_2_geo_001_pw_05,0.742941533,0.641620715,231.9733387,0.166326573,0.095687564,20.81692201,0.8,0.669338369,SUCCESS,0,9.16E-19,1,1,0,0,0,46777698.99,0.001134725,0.000128857,0.001134725,1,60,16.66666667
dataset_batch_2_geo_002,dataset_batch_2_geo_002_pw_01,1.028425929,0.446770998,140.0869523,0.216842563,0.120524217,26.35061721,0.4,0.299925108,SUCCESS,0,0.00056532,1.082659483,1.040518522,13.5,8.999999046,0.010113028,129383199.7,0.008318219,0.008318219,0.002687729,2,60,16.66666667
dataset_batch_2_geo_002,dataset_batch_2_geo_002_pw_02,1.028425929,0.446770998,140.0869523,0.216842563,0.120524217,26.35061721,0.5,0.299925108,SUCCESS,0,0.000984577,1.082659483,1.082659483,13.5,11.25,0.011302796,123628510.3,0.00745865,0.00745865,0.003425979,2,60,16.66666667
dataset_batch_2_geo_002,dataset_batch_2_geo_002_pw_03,1.028425929,0.446770998,140.0869523,0.216842563,0.120524217,26.35061721,0.6,0.299925108,SUCCESS,0,0.002071694,1.172071099,1.126487851,15.75,13.5,0.018441404,117885160.9,0.006600664,0.006600664,0.004235997,2,60,16.66666667
dataset_batch_2_geo_002,dataset_batch_2_geo_002_pw_04,1.028425929,0.446770998,140.0869523,0.216842563,0.120524217,26.35061721,0.7,0.299925108,SUCCESS,0,0.003608961,1.219479561,1.219479561,18,15.75,0.024985128,112164987.7,0.005724209,0.005724209,0.005128197,2,60,16.66666667
dataset_batch_2_geo_002,dataset_batch_2_geo_002_pw_05,1.028425929,0.446770998,140.0869523,0.216842563,0.120524217,26.35061721,0.8,0.299925108,SUCCESS,0,0.005502937,1.320067286,1.320067286,22.5,18,0.035098156,106488811.2,0.006083276,0.004928056,0.006083276,3,60,16.66666667
dataset_batch_2_geo_003,dataset_batch_2_geo_003_pw_01,1.116314618,0.411723662,611.1042047,0.345485275,0.056791719,20.426303,0.4,0.652128571,FAILED,1,,,,,,,,,,,0,60,16.66666667
dataset_batch_2_geo_003,dataset_batch_2_geo_003_pw_02,1.116314618,0.411723662,611.1042047,0.345485275,0.056791719,20.426303,0.5,0.652128571,FAILED,1,,,,,,,,,,,0,60,16.66666667
dataset_batch_2_geo_003,dataset_batch_2_geo_003_pw_03,1.116314618,0.411723662,611.1042047,0.345485275,0.056791719,20.426303,0.6,0.652128571,FAILED,1,,,,,,,,,,,0,60,16.66666667
dataset_batch_2_geo_003,dataset_batch_2_geo_003_pw_04,1.116314618,0.411723662,611.1042047,0.345485275,0.056791719,20.426303,0.7,0.652128571,FAILED,1,,,,,,,,,,,0,60,16.66666667
dataset_batch_2_geo_003,dataset_batch_2_geo_003_pw_05,1.116314618,0.411723662,611.1042047,0.345485275,0.056791719,20.426303,0.8,0.652128571,FAILED,1,,,,,,,,,,,0,60,16.66666667
dataset_batch_2_geo_004,dataset_batch_2_geo_004_pw_01,0.941669055,0.554613718,962.240536,0.217626032,0.043657795,23.65093522,0.4,0.585750745,SUCCESS,0,0.000188852,1.040518522,1,18,9.000002861,0.010113028,103749522.1,0.000961583,0.000961583,0.000145413,2,60,16.66666667
dataset_batch_2_geo_004,dataset_batch_2_geo_004_pw_02,0.941669055,0.554613718,962.240536,0.217626032,0.043657795,23.65093522,0.5,0.585750745,SUCCESS,0,3.66E-19,1,1,0,0,0,102886783,0.000834205,0.000834205,0.000235916,1,60,16.66666667
dataset_batch_2_geo_004,dataset_batch_2_geo_004_pw_03,0.941669055,0.554613718,962.240536,0.217626032,0.043657795,23.65093522,0.6,0.585750745,SUCCESS,0,1.52E-05,1.040518522,1,6.75,0,0.004759072,97129917.88,0.000708237,0.000708237,0.000341827,1,60,16.66666667
dataset_batch_2_geo_004,dataset_batch_2_geo_004_pw_04,0.941669055,0.554613718,962.240536,0.217626032,0.043657795,23.65093522,0.7,0.585750745,SUCCESS,0,0.000130607,1.126487851,1,15.74999905,4.499999523,0.013087448,91377565.89,0.000584362,0.000584362,0.000461101,2,60,16.66666667
dataset_batch_2_geo_004,dataset_batch_2_geo_004_pw_05,0.941669055,0.554613718,962.240536,0.217626032,0.043657795,23.65093522,0.8,0.585750745,SUCCESS,0,0.000313868,1.219479561,1.126487851,18,11.25,0.023200476,85644626.19,0.00059268,0.00046285,0.00059268,3,60,16.66666667
dataset_batch_2_geo_005,dataset_batch_2_geo_005_pw_01,0.746557241,0.678954498,706.691012,0.252766505,0.068391232,25.28183886,0.4,0.101855684,SUCCESS,0,3.19E-19,1,1,0,0,0,68403985.63,0.000672902,0.000672902,0,1,60,16.66666667
dataset_batch_2_geo_005,dataset_batch_2_geo_005_pw_02,0.746557241,0.678954498,706.691012,0.252766505,0.068391232,25.28183886,0.5,0.101855684,SUCCESS,0,3.54E-19,1,1,0,0,0,62647457.35,0.000495776,0.000495776,0,1,60,16.66666667
dataset_batch_2_geo_005,dataset_batch_2_geo_005_pw_03,0.746557241,0.678954498,706.691012,0.252766505,0.068391232,25.28183886,0.6,0.101855684,SUCCESS,0,3.13E-19,1,1,0,0,0,56890929.06,0.00031865,0.00031865,0,1,60,16.66666667
dataset_batch_2_geo_005,dataset_batch_2_geo_005_pw_04,0.746557241,0.678954498,706.691012,0.252766505,0.068391232,25.28183886,0.7,0.101855684,SUCCESS,0,2.64E-19,1,1,0,0,0,51134400.78,0.000141524,0.000141524,9.71E-05,1,60,16.66666667
dataset_batch_2_geo_005,dataset_batch_2_geo_005_pw_05,0.746557241,0.678954498,706.691012,0.252766505,0.068391232,25.28183886,0.8,0.101855684,SUCCESS,0,3.14E-19,1,1,0,0,0,45377872.5,0.000273462,1.91E-06,0.000273462,1,60,16.66666667
dataset_batch_2_geo_006,dataset_batch_2_geo_006_pw_01,0.718563509,0.496564605,338.2454553,0.20595235,0.06629082,22.38245451,0.4,0.750162144,SUCCESS,0,5.86E-19,1,1,0,0,0,73475454.47,0.00159898,0.00159898,0.000226273,1,60,16.66666667
dataset_batch_2_geo_006,dataset_batch_2_geo_006_pw_02,0.718563509,0.496564605,338.2454553,0.20595235,0.06629082,22.38245451,0.5,0.750162144,SUCCESS,0,5.80E-19,1,1,0,0,0,67718308.09,0.001242716,0.001242716,0.000498114,1,60,16.66666667
dataset_batch_2_geo_006,dataset_batch_2_geo_006_pw_03,0.718563509,0.496564605,338.2454553,0.20595235,0.06629082,22.38245451,0.6,0.750162144,SUCCESS,0,4.96E-06,1.040518522,1,2.249999762,0,0.002379536,61961153.56,0.000886613,0.000886613,0.000832567,1,60,16.66666667
